"SCOMVICE"	"PROSTITUTION/COMM VICE"	16	"133-136"	4	"5,6,7"
"SSEXOFF"	"SEX OFFENSES"	17	"137-140"	4	"5,6,7"
"SDRUGTOT"	"DRUG ABUSE VIOLATIONS-TOTAL"	18	"141-145"	5	"5,6,7"
"SDRGSALE"	"DRUG ABUSE SALE/MANUFACTURE"	180	"146-150"	5	"5,6,7"
"SCOCSALE"	"OPIUM/COCAINE-SALE/MANUFACTURE"	"18A"	"151-155  5"		"5,6,7"
"SMJSALE"	"MARIJUANA-SALE/MANUFACTURE"	"18B"	"156-159"	4	"5,6,7"
"SSYNSALE"	"SYNTHETIC-DRUG SALE/MANUFACTURE "	"18C"	"160-162"	3	"5,6,7"
"SOTHSALE"	"OTHER:DANG NON-NARCOTICS"	"18D"	"163-166"	4	"5,6,7"
"SDRGPOSS"	"DRUG POSSESSION-SUBTOTAL"	185	"167-171"	5	"5,6,7"
"SCOCPOSS"	"OPIUM/COCAINE-POSSESSION"	"18E"	"172-176"	5	"5,6,7"
"SMJPOSS"	"MARIJUANA-POSSESSION"	"18F"	"177-180"	4	"5,6,7"
"SSYNPOSS"	"SYNTHETIC NARCOTICS-POSSESSION"	"18G"	"181-183 "	3	"5,6,7"
"SOTHPOSS"	"OTHER DRUG-POSSESSION"	"18H"	"184-188"	5	"5,6,7"
"SGAMBLE"	"GAMBLING-TOTAL"	"19A"	"189-192"	4	"5,6,7"
"SBOOKMKG"	"BOOKMAKING (HORSE-SPORT)"	"19A"	"193-195"	3	"5,6,7"
"SNUMBERS"	"NUMBERS & LOTTERY"	"19B"	"196-198"	3	"5,6,7"
"SOTGAMBL"	"GAMBLING-ALL OTHER"	"19C"	"199-202"	4	"5,6,7"
"SOFAGFAM"	"OFFENSES AGAINST FAMILY & CHILD"	20	"203-206"	4	"5,6,7"
"SDUI"	"DRIVING UNDER INFLUENCE"	21	"207-211"	5	"5,6,7"
"SLIQUOR"	"LIQUOR LAW VIOLATIONS"	22	"212-216"	5	"5,6,7"
"SDRUNK"	"DRUNKENNESS"	23	"217-221"	5	"5,6,7"
"SDISORDR"	"DISORDERLY CONDUCT"	24	"222-226"	5	"5,6,7"
"SVAGRANT"	"VAGRANCY"	25	"227-230"	4	"5,6,7"
"SALLOTHR"	"ALL OTHER OFF EXCEPT TRAFFIC"	26	"231-236"	6	"5,6,7"
"SSUSPICN"	"SUSPICION"	27	"237-240"	4	"5,6,7"
"SCURFEW"	"CURFEW, LOITERING LAWS"	28	"241-244"	4	"5,6,7"
"SRUNAWAY"	"RUNAWAYS"	29	"245-249"	5	"5,6,7"
"STUDYNO"	"ICPSR STUDY NUMBER-6669"		"1-4"	4	4
"EDITION"	"ICPSR EDITION NUMBER-2"		5	1	4
"PART"	"ICPSR PART NUMBER-4"		6	1	4
"IDNO"	"ICPSR SEQUENTIAL CASE ID NUMBER"		"7-10"	4	4
"FIPS_ST"	"FIPS STATE CODE"		"11-12"	2	4
"FIPS_CTY"	"FIPS COUNTY CODE"		"13-15"	3	4
"CPOPARST"	"TOTAL COUNTY POPULATION"		"16-23"	8	4
"CPOPCRIM"	"COUNTY POPULATION OF AGENCIES"		"24-31"	8	4
"AG_ARRST"	"NUMBER OF AGENCIES IN COUNTY"		"32-34"	3	4
"AG_OFF"	"NUMBER OF AGENCIES IN COUNTY"		"35-37"	3	4
"COVIND"	"COVERAGE INDICATOR"		"38-45"	8.4	4
"INDEX"	"INDEX"		"46-51"	6	4
"MODINDX"	"MODIFIED INDEX"		"52-57"	6	4
"MURDER"	"MURDERS"	11	"58-61"	4	4
"RAPE"	"FORCIBLE RAPES"	2	"62-65"	4	4
"ROBBERY"	"ROBBERIES"	3	"66-70"	5	4
"AGASLT"	"AGGRAVATED ASSAULTS"	4	"71-75"	5	4
"BURGLRY"	"BURGLARIES"	5	"76-81"	6	4
"LARCENY"	"LARCENIES"	6	"82-87"	6	4
"MVTHEFT"	"MOTOR VEHICLE THEFTS"	7	"88-93"	6	4
"ARSON"	"ARSONS"	9	"94-97"	4	4
"STUDYNO"	"ICPSR STUDY NUMBER-6669"		"1-4"	4	8
"EDITION"	"ICPSR EDITION NUMBER-1"		5	1	8
"PART"	"ICPSR PART NUMBER-8"		6	1	8
"IDNO"	"ICPSR SEQUENTIAL CASE ID NUMBER"		"7-10"	4	8
"FIPS_ST"	"FIPS STATE CODE"		"11-12"	2	8
"FIPS_CTY"	"FIPS COUNTY CODE"		"13-15"	3	8
"SPOPARST"	"STATE POPULATION OF AGENCIES"		"16-23"	8	8
"SPOPCRIM"	"STATE POPULATION OF AGENCIES"		"24-31"	8	8
"CPOPCRIM"	"COUNTY POPULATION OF AGENCIES"		"32-38"	7	8
"AG_ARRST"	"NUMBER OF AGENCIES IN COUNTY"		"39-41"	3	8
"AG_OFF"	"NUMBER OF AGENCIES IN COUNTY"		"42-44"	3	8
"COVIND"	"COVERAGE INDICATOR"		"45-52"	8.4	8
"SINDEX"	"INDEX"		"53-58"	6	8
"SMODINDX"	"MODIFIED INDEX"		"59-64"	6	8
"SMURDER"	"MURDERS"	11	"65-68"	4	8
"SRAPE"	"FORCIBLE RAPES"	2	"69-72"	4	8
"SROBBERY"	"ROBBERIES"	3	"73-77"	5	8
"SAGASLT"	"AGGRAVATED ASSAULTS"	4	"78-82"	5	8
"SBURGLRY"	"BURGLARIES"	5	"83-88"	6	8
"SLARCENY"	"LARCENIES"	6	"89-94"	6	8
"SMVTHEFT"	"MOTOR VEHICLE THEFTS"	7	"95-100"	6	8
"SARSON"	"ARSONS"	9	"101-104"	4	8
