GAMBLING: ALL OTHER	GAMBLING: ALL OTHER		188-191	4
OFFEN AGAINST FAM & CHIL	OFFEN AGAINST FAM & CHIL		192-195	4
DRIVING UNDER INFLUENCE	DRIVING UNDER INFLUENCE		196-201	6
LIQUOR LAW VIOLATIONS	LIQUOR LAW VIOLATIONS		202-206	5
DRUNKENNESS	DRUNKENNESS		207-211	5
DISORDERLY CONDUCT	DISORDERLY CONDUCT		212-216	5
VAGRANCY	VAGRANCY		217-221	5
ALL OTH OFFS EX TRAFFIC	ALL OTH OFFS EX TRAFFIC		222-227	6
SUSPICION	SUSPICION		228-231	4
CURFEW, LOITERING LAWS	CURFEW, LOITERING LAWS		232-237	6
RUN-AWAYS (JUVENILES)	RUN-AWAYS (JUVENILES)		238-242	5
ICPSR STUDY NUMBER-9252	ICPSR STUDY NUMBER-9252		1-4	4
ICPSR EDITION NUMBER-1	ICPSR EDITION NUMBER-1		1	1
ICPSR PART NUMBER-4	ICPSR PART NUMBER-4		1	1
ICPSR SEQ ID NUMBER	ICPSR SEQ ID NUMBER		7-10	4
FIPS STATE CODE	FIPS STATE CODE		11-12	2
FIPS COUNTY CODE	FIPS COUNTY CODE		13-15	3
POPULATION	POPULATION		16-22	7
INDEX	INDEX		23-28	6
MODIFIED INDEX	MODIFIED INDEX		29-34	6
MURDERS	MURDERS		35-38	4
FORCIBLE RAPES	FORCIBLE RAPES		39-42	4
ROBBERIES	ROBBERIES		43-47	5
AGGRAVATED ASSAULTS	AGGRAVATED ASSAULTS		48-52	5
BURGLARIES	BURGLARIES		53-58	6
LARCENIES	LARCENIES		59-64	6
MOTOR VEHICLE THEFTS	MOTOR VEHICLE THEFTS		65-69	5
ARSONS	ARSONS		70-73	4
ICPSR STUDY NUMBER-9252	ICPSR STUDY NUMBER-9252		1-4	4
ICPSR EDITION NUMBER-1	ICPSR EDITION NUMBER-1		1	1
ICPSR PART NUMBER 5-6-7	ICPSR PART NUMBER 5-6-7		1	1
ICPSR SEQ ID NUMBER	ICPSR SEQ ID NUMBER		7-10	4
FIPS STATE CODE	FIPS STATE CODE		11-12	2
FIPS COUNTY CODE	FIPS COUNTY CODE		13-15	3
POPULATION	POPULATION		16-22	7
GRAND TOTAL	GRAND TOTAL		23-29	7
PART 1 TOTAL	PART 1 TOTAL		30-36	7
MURDERS	MURDERS		37-41	5
RAPES	RAPES		42-46	5
ROBBERIES	ROBBERIES		47-50	4
AGGRAVATED ASSAULTS	AGGRAVATED ASSAULTS		51-54	4
BURGLARIES	BURGLARIES		55-59	5
LARCENIES	LARCENIES		60-64	5
AUTO THEFTS	AUTO THEFTS		65-69	5
ARSONS	ARSONS		70-74	5
OTHER ASSAULTS	OTHER ASSAULTS		75-79	5
FORGERY/COUNTERFEITING	FORGERY/COUNTERFEITING		80-83	4
FRAUD	FRAUD		84-88	5
EMBEZZLEMENT	EMBEZZLEMENT		89-92	4
HAVE STOLEN PROPERTY	HAVE STOLEN PROPERTY		93-97	5
VANDALISM	VANDALISM		98-100	3
WEAPONS VIOLATIONS	WEAPONS VIOLATIONS		101-105	5
PROSTITUTION/COMM VICE	PROSTITUTION/COMM VICE		106-110	5
SEX OFFENSES	SEX OFFENSES		111-115	5
VIOLENT CRIMES	VIOLENT CRIMES		116-120	5
PROPERTY CRIMES	PROPERTY CRIMES		121-124	4
DRUG ABUSE VIOL. TOTAL	DRUG ABUSE VIOL. TOTAL		125-130	6
DRUG ABUSE SALE/MANUFAC	DRUG ABUSE SALE/MANUFAC		131-135	5
OPIUM/COCAINE SALE/MANUF	OPIUM/COCAINE SALE/MANUF		136-140	5
MARIJUANA SALE/MANUF	MARIJUANA SALE/MANUF		141-145	5
SYNTHETIC DRUG SALE/MANU	SYNTHETIC DRUG SALE/MANU		146-149	4
OTHER:DANG NON-NARCOTICS	OTHER:DANG NON-NARCOTICS		150-154	5
DRUG POSSESSION SUBTOTAL	DRUG POSSESSION SUBTOTAL		155-159	5
OPIUM/COCAINE POSSESSION	OPIUM/COCAINE POSSESSION		160-164	5
MARIJUANA POSSESSION	MARIJUANA POSSESSION		165-169	5
SYNTH NARCOTICS POSSESSN	SYNTH NARCOTICS POSSESSN		170-172	3
DRIVING UNDER INFLUENCE	DRIVING UNDER INFLUENCE		173-176	4
LIQUOR LAW VIOLATIONS	LIQUOR LAW VIOLATIONS		177-181	5
DRUNKENNESS	DRUNKENNESS		182-185	4
DISORDERLY CONDUCT	DISORDERLY CONDUCT		186-189	4
VAGRANCY	VAGRANCY		190-193	4
ALL OTH OFFS EX TRAFFIC	ALL OTH OFFS EX TRAFFIC		194-197	4
SUSPICION	SUSPICION		198-203	6
CURFEW, LOITERING LAWS	CURFEW, LOITERING LAWS		204-208	5
RUN-AWAYS (JUVENILES)	RUN-AWAYS (JUVENILES)		209-213	5
DRUG POSSESSION: OTHER	DRUG POSSESSION: OTHER		214-219	6
GAMBLING: TOTAL	GAMBLING: TOTAL		220-224	5
BOOKMAKING (HORSE-SPORT)	BOOKMAKING (HORSE-SPORT)		225-230	6
NUMBERS & LOTTERY	NUMBERS & LOTTERY		231-234	4
GAMBLING: ALL OTHER	GAMBLING: ALL OTHER		235-240	6
OFFEN AGAINST FAM & CHIL	OFFEN AGAINST FAM & CHIL		241-245	5
ICPSR STUDY NUMBER-9252	ICPSR STUDY NUMBER-9252		1-4	4
ICPSR EDITION NUMBER-1	ICPSR EDITION NUMBER-1		1	1
ICPSR PART NUMBER-8	ICPSR PART NUMBER-8		1	1
ICPSR SEQ ID NUMBER	ICPSR SEQ ID NUMBER		7-10	4
FIPS STATE CODE	FIPS STATE CODE		11-12	2
FIPS COUNTY CODE	FIPS COUNTY CODE		13-15	3
POPULATION	POPULATION		16-22	7
INDEX	INDEX		23-28	6
MODIFIED INDEX	MODIFIED INDEX		29-34	6
MURDERS	MURDERS		35-38	4
FORCIBLE RAPES	FORCIBLE RAPES		39-42	4
ROBBERIES	ROBBERIES		43-47	5
AGGRAVATED ASSAULTS	AGGRAVATED ASSAULTS		48-52	5
BURGLARIES	BURGLARIES		53-58	6
LARCENIES	LARCENIES		59-64	6
MOTOR VEHICLE THEFTS	MOTOR VEHICLE THEFTS		65-70	6
ARSONS	ARSONS		71-74	4
