"OTHER ASSAULTS"	"OTHER ASSAULTS"	8	"89-93"	5	"1,2,3"
"FORGERY/COUNTERFEITING"	"FORGERY/COUNTERFEITING"	10	"94-97"	4	"1,2,3"
"FRAUD"	"FRAUD"	11	"98-102"	5	"1,2,3"
"EMBEZZLEMENT"	"EMBEZZLEMENT"	12	"103-105"	3	"1,2,3"
"HAVE STOLEN PROPERTY"	"HAVE STOLEN PROPERTY"	13	"106-109"	4	"1,2,3"
"VANDALISM"	"VANDALISM"	14	"110-114"	5	"1,2,3"
"WEAPONS VIOLATIONS"	"WEAPONS VIOLATIONS"	15	"115-119"	5	"1,2,3"
"PROSTITUTION/COMM VICE"	"PROSTITUTION/COMM VICE"	16	"120-123"	4	"1,2,3"
"SEX OFFENSES"	"SEX OFFENSES"	17	"124-127"	4	"1,2,3"
"DRUG ABUSE VIOLATIONS-TOTAL"	"DRUG ABUSE VIOLATIONS-TOTAL"	18	"128-132"	5	"1,2,3"
"DRUG ABUSE SALE/MANUFACTURE"	"DRUG ABUSE SALE/MANUFACTURE"	180	"133-137"	5	"1,2,3"
"OPIUM/COCAINE-SALE/MANUFACTURE"	"OPIUM/COCAINE-SALE/MANUFACTURE"	"18A"	"138-142"	5	"1,2,3"
"MARIJUANA-SALE/MANUFACTURE"	"MARIJUANA-SALE/MANUFACTURE"	"18B"	"143-146"	4	"1,2,3"
"SYNTHETIC-DRUG SALE/MANUFACTURE"	"SYNTHETIC-DRUG SALE/MANUFACTURE"	"18C"	"147-150"	4	"1,2,3"
"OTHER:DANG NON-NARCOTICS"	"OTHER:DANG NON-NARCOTICS"	"18D"	"151-155"	5	"1,2,3"
"DRUG POSSESSION-SUBTOTAL"	"DRUG POSSESSION-SUBTOTAL"	185	"156-160"	5	"1,2,3"
"OPIUM/COCAINE-POSSESSION"	"OPIUM/COCAINE-POSSESSION"	"18E"	"161-165"	5	"1,2,3"
"MARIJUANA-POSSESSION"	"MARIJUANA-POSSESSION"	"18F"	"166-169"	4	"1,2,3"
"SYNTHETIC NARCOTICS-POSSESSION"	"SYNTHETIC NARCOTICS-POSSESSION"	"18G"	"170-172"	4	"1,2,3"
"OTHER DRUG-POSSESSION"	"OTHER DRUG-POSSESSION"	"18H"	"173-176"	4	"1,2,3"
"GAMBLING-TOTAL"	"GAMBLING-TOTAL"	19	"177-180"	4	"1,2,3"
"BOOKMAKING (HORSE-SPORT)"	"BOOKMAKING (HORSE-SPORT)"	"19A"	"181-183"	3	"1,2,3"
"NUMBERS & LOTTERY"	"NUMBERS & LOTTERY"	"19B"	"184-186"	3	"1,2,3"
"GAMBLING-ALL OTHER"	"GAMBLING-ALL OTHER"	"19C"	"187-190"	4	"1,2,3"
"OFFENSES AGAINST FAMILY & CHILD"	"OFFENSES AGAINST FAMILY & CHILD"	20	"191-194"	4	"1,2,3"
"DRIVING UNDER INFLUENCE"	"DRIVING UNDER INFLUENCE"	21	"195-199"	5	"1,2,3"
"LIQUOR LAW VIOLATIONS"	"LIQUOR LAW VIOLATIONS"	22	"200-204"	5	"1,2,3"
"DRUNKENNESS"	"DRUNKENNESS"	23	"205-209"	5	"1,2,3"
"DISORDERLY CONDUCT"	"DISORDERLY CONDUCT"	24	"210-214"	5	"1,2,3"
"VAGRANCY"	"VAGRANCY"	25	"215-218"	4	"1,2,3"
"ALL OTHER OFF EXCEPT TRAFFIC"	"ALL OTHER OFF EXCEPT TRAFFIC"	26	"219-224"	6	"1,2,3"
"SUSPICION"	"SUSPICION"	27	"225-228"	4	"1,2,3"
"CURFEW, LOITERING LAWS"	"CURFEW, LOITERING LAWS"	28	"229-232"	4	"1,2,3"
"RUNAWAYS (JUVENILES)"	"RUNAWAYS (JUVENILES)"	29	"233-236"	4	"1,2,3"
"ICPSR STUDY NUMBER-6316"	"ICPSR STUDY NUMBER-6316"		"1-4"	4	4
"ICPSR EDITION NUMBER-1"	"ICPSR EDITION NUMBER-1"		5	1	4
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		6	1	4
"ICPSR SEQUENTIAL ID"	"ICPSR SEQUENTIAL ID"		"7-10"	4	4
"FIPS STATE CODE"	"FIPS STATE CODE"		"11-12"	2	4
"FIPS COUNTY CODE"	"FIPS COUNTY CODE"		"13-15"	3	4
"COUNTY POPULATION"	"COUNTY POPULATION"		"16-22"	7	4
"COUNTY POPULATION OF"	"COUNTY POPULATION OF"		"23-29"	7	4
"INDEX"	"INDEX"		"30-35"	6	4
"MODIFIED INDEX"	"MODIFIED INDEX"		"36-41"	6	4
"MURDERS"	"MURDERS"	11	"42-45"	4	4
"FORCIBLE RAPES"	"FORCIBLE RAPES"	2	"46-49"	4	4
"ROBBERIES"	"ROBBERIES"	3	"50-54"	5	4
"AGGRAVATED ASSAULTS"	"AGGRAVATED ASSAULTS"	4	"55-59"	5	4
"BURGLARIES"	"BURGLARIES"	5	"60-65"	6	4
"LARCENIES"	"LARCENIES"	6	"66-71"	6	4
"MOTOR VEHICLE THEFTS"	"MOTOR VEHICLE THEFTS"	7	"72-77"	6	4
"ARSONS"	"ARSONS"	9	"78-81"	4	4
